accuracy,precision,recall,f1
0.996722600943891,0.987389659520807,0.981203007518797,0.9842866121935889
0.9960671211326692,0.9948586118251928,0.9675,0.9809885931558935
0.9980335605663345,0.9950248756218906,0.9864364981504316,0.9907120743034056
0.9959360251704248,0.9878934624697336,0.974910394265233,0.9813589897775106
0.9979024646040902,0.9949238578680203,0.9849246231155779,0.98989898989899
0.996722600943891,0.9880668257756563,0.9822064056939501,0.9851279000594884
0.9973780807551127,0.9961783439490446,0.9787234042553191,0.9873737373737373
0.9977713686418458,0.9973958333333334,0.9807938540332907,0.9890251775338929
0.9964604090194022,0.9910714285714286,0.9749058971141782,0.9829222011385199
0.996722600943891,0.9914634146341463,0.9783393501805054,0.9848576620230164
0.9963293130571579,0.9902557856272838,0.9759903961584634,0.9830713422007256
0.9969847928683796,0.9922077922077922,0.9782330345710627,0.9851708575112831
0.9960671211326692,0.9894736842105263,0.9757785467128027,0.9825783972125436
0.996722600943891,0.9911504424778761,0.9775561097256857,0.9843063402385436
0.9963293130571579,0.9908256880733946,0.972972972972973,0.9818181818181818
0.996722600943891,0.9828496042216359,0.9841479524438573,0.9834983498349835
0.997115888830624,0.9935400516795866,0.9783715012722646,0.985897435897436
0.9973780807551127,0.9925280199252802,0.9827373612823674,0.9876084262701363
0.9961982170949135,0.9907161803713528,0.9713914174252276,0.9809586342744583
0.9968536969061353,0.99125,0.9790123456790123,0.9850931677018634
0.9965915049816466,0.9922680412371134,0.9746835443037974,0.9833971902937421
0.996722600943891,0.9936708860759493,0.9751552795031055,0.9843260188087775
0.9960671211326692,0.9826086956521739,0.9801734820322181,0.9813895781637717
0.996722600943891,0.9879679144385026,0.9788079470198675,0.9833666001330672
0.9969847928683796,0.9908972691807543,0.9794344473007712,0.9851325145442793
0.9968536969061353,0.992638036809816,0.9782345828295043,0.9853836784409257
0.9975091767173571,0.9946308724832215,0.9801587301587301,0.9873417721518988
0.9958049292081804,0.9948320413436692,0.9649122807017544,0.9796437659033079
0.9960671211326692,0.98625,0.9764851485148515,0.9813432835820896
0.9960671211326692,0.9840490797546012,0.9792429792429792,0.981640146878825
0.9958049292081804,0.993581514762516,0.9662921348314607,0.979746835443038
0.9958049292081804,0.9853836784409257,0.9758745476477684,0.9806060606060606
0.996722600943891,0.9925280199252802,0.9767156862745098,0.9845583693638048
0.997115888830624,0.9949431099873578,0.977639751552795,0.9862155388471178
0.9961982170949135,0.9853528628495339,0.9762532981530343,0.9807819748177601
0.9954116413214473,0.9847522236340533,0.9711779448621554,0.9779179810725552
0.9972469847928683,0.9950124688279302,0.9791411042944785,0.987012987012987
0.9963293130571579,0.990728476821192,0.9726918075422627,0.9816272965879265
0.996722600943891,0.9921976592977894,0.9757033248081841,0.9838813668600903
0.9961982170949135,0.9908854166666666,0.9719029374201787,0.9813023855577047
0.9961982170949135,0.993734335839599,0.9706242350061199,0.9820433436532507
0.9981646565285789,0.9947712418300654,0.9870298313878081,0.9908854166666666
0.9961982170949135,0.9909326424870466,0.9720457433290979,0.981398332264272
0.9964604090194022,0.9861111111111112,0.9799247176913425,0.9830081812460667
0.9976402726796014,0.9896103896103896,0.9870466321243523,0.9883268482490273
0.997115888830624,0.9925465838509316,0.9803680981595092,0.9864197530864197
0.9973780807551127,0.9908735332464146,0.9831824062095731,0.987012987012987
0.9968536969061353,0.9906291834002677,0.9775429326287979,0.9840425531914894
0.9960671211326692,0.9922779922779923,0.969811320754717,0.9809160305343512
0.9965915049816466,0.9875930521091811,0.9802955665024631,0.9839307787391842
0.996722600943891,0.9899244332493703,0.9788293897882939,0.9843456480901691
0.9964604090194022,0.9912935323383084,0.9755201958384333,0.9833436150524367
0.9975091767173571,0.990578734858681,0.983957219251337,0.9872568745808182
0.9965915049816466,0.989821882951654,0.9773869346733668,0.9835651074589128
0.9968536969061353,0.9886649874055415,0.98125,0.9849435382685069
0.9973780807551127,0.9921976592977894,0.9819819819819819,0.9870633893919794
0.9973780807551127,0.9926739926739927,0.9830713422007256,0.9878493317132442
0.9963293130571579,0.9896238651102465,0.9744572158365262,0.9819819819819819
0.9960671211326692,0.989247311827957,0.9709762532981531,0.9800266311584553
0.997115888830624,0.9898477157360406,0.982367758186398,0.9860935524652339
0.9958049292081804,0.9829059829059829,0.9781287970838396,0.9805115712545676
0.9961982170949135,0.9889705882352942,0.9758162031438936,0.9823493609251369
0.9973780807551127,0.9960474308300395,0.9780077619663649,0.9869451697127938
0.9969847928683796,0.9894039735099338,0.9803149606299213,0.984838497033619
0.9961982170949135,0.9822784810126582,0.9810366624525917,0.9816571790006325
0.9976402726796014,0.9913793103448276,0.9865196078431373,0.9889434889434889
0.9973780807551127,0.9947089947089947,0.9791666666666666,0.9868766404199475
0.9975091767173571,0.9924242424242424,0.983729662077597,0.9880578252671276
0.9969847928683796,0.9892328398384926,0.98,0.9845947756195579
0.9969847928683796,0.9951865222623345,0.9775413711583925,0.9862850327966607
0.9963293130571579,0.9848293299620733,0.979874213836478,0.9823455233291298
0.9964604090194022,0.9886934673366834,0.977639751552795,0.9831355402873204
0.9954116413214473,0.9869451697127938,0.967989756722151,0.9773755656108597
0.9976402726796014,0.9946164199192463,0.9814077025232404,0.9879679144385026
0.9964604090194022,0.9873577749683944,0.9786967418546366,0.9830081812460667
0.9964604090194022,0.9897304236200257,0.9759493670886076,0.982791586998088
0.9969847928683796,0.986198243412798,0.9849624060150376,0.9855799373040752
0.9955427372836917,0.9887780548628429,0.969437652811736,0.9790123456790123
0.9969847928683796,0.9962025316455696,0.9752168525402726,0.9855979962429555
