accuracy,precision,recall,f1
0.9546407970634504,0.9110320284697508,0.6336633663366337,0.7474452554744525
0.9493969585736759,0.9069767441860465,0.5806451612903226,0.708018154311649
0.9517566858940745,0.9175627240143369,0.6139088729016786,0.735632183908046
0.9567383324593602,0.9176245210727969,0.6253263707571801,0.7437888198757764
0.9518877818563188,0.9106796116504854,0.5936708860759494,0.7187739463601532
0.9542475091767174,0.9354207436399217,0.6020151133501259,0.7325670498084291
0.9521499737808076,0.9057692307692308,0.5984752223634053,0.720734506503443
0.9529365495542738,0.933206106870229,0.6014760147601476,0.7314884068810771
0.9546407970634504,0.940754039497307,0.6260454002389486,0.7517934002869441
0.9490036706869428,0.9063670411985019,0.5880923450789793,0.7133382461311717
0.9516255899318301,0.9085923217550275,0.6090686274509803,0.7292736610418196
0.9533298374410069,0.9187725631768953,0.6207317073170732,0.7409024745269287
0.9587047718930257,0.9242144177449169,0.6459948320413437,0.7604562737642585
0.9480859989512324,0.9190207156308852,0.5802615933412604,0.7113702623906706
0.9576560041950708,0.9077868852459017,0.6144244105409153,0.7328370554177006
0.9522810697430519,0.9001883239171374,0.605830164765526,0.7242424242424242
0.9546407970634504,0.9349593495934959,0.5943152454780362,0.7266982622432859
0.9517566858940745,0.9234972677595629,0.6086434573829532,0.7337192474674384
0.9551651809124279,0.9194214876033058,0.5949197860962567,0.7224025974025974
0.9487414787624541,0.9319066147859922,0.5736526946107784,0.7101556708673091
0.9505768222338752,0.9107806691449815,0.5982905982905983,0.7221812822402358
0.9542475091767174,0.9083820662768031,0.6067708333333334,0.7275565964090555
0.9580492920818039,0.9222903885480572,0.6152796725784447,0.7381342062193126
0.9516255899318301,0.9243243243243243,0.6107142857142858,0.7354838709677419
0.9530676455165181,0.9194214876033058,0.5824607329842932,0.7131410256410257
0.9492658626114315,0.9138576779026217,0.5886610373944512,0.7160674981658107
0.9504457262716308,0.9186046511627907,0.5851851851851851,0.7149321266968326
0.9490036706869428,0.906764168190128,0.5947242206235012,0.718320057929037
0.9547718930256948,0.9360146252285192,0.6228710462287105,0.747991234477721
0.9524121657052963,0.9297872340425531,0.5697522816166884,0.7065481002425222
0.955558468799161,0.9373848987108656,0.6253071253071253,0.7501842299189388
0.9549029889879391,0.9180952380952381,0.6155810983397191,0.7370030581039755
0.9549029889879391,0.9272388059701493,0.6197007481296758,0.7428998505231689
0.9562139486103828,0.9509803921568627,0.610831234256927,0.7438650306748467
0.9547718930256948,0.9302752293577982,0.6228501228501229,0.7461368653421634
0.9550340849501835,0.9267399267399268,0.6254635352286774,0.7468634686346863
0.9520188778185632,0.9247706422018349,0.6079613992762364,0.7336244541484717
0.9549029889879391,0.9206963249516441,0.6110397946084724,0.7345679012345679
0.9529365495542738,0.9369202226345084,0.608433734939759,0.7377647918188459
0.9534609334032512,0.9090909090909091,0.6099110546378653,0.7300380228136882
0.9500524383848977,0.9222222222222223,0.5949820788530465,0.7233115468409586
0.9579181961195595,0.9418837675350702,0.6167979002624672,0.7454401268834259
0.9492658626114315,0.8956356736242884,0.5870646766169154,0.7092411720510894
0.9511012060828526,0.9285714285714286,0.5958986731001207,0.7259368111682586
0.9543786051389617,0.9097888675623801,0.6116129032258064,0.7314814814814815
0.9547718930256948,0.9078947368421053,0.62002567394095,0.7368421052631579
0.951232302045097,0.921875,0.5870646766169154,0.7173252279635258
0.952674357629785,0.9267241379310345,0.5680317040951123,0.7043407043407044
0.9543786051389617,0.9375,0.6030150753768844,0.7339449541284404
0.9547718930256948,0.926,0.6005188067444877,0.7285601888276947
0.9521499737808076,0.9136276391554703,0.5979899497487438,0.7228549734244495
0.9542475091767174,0.935672514619883,0.6030150753768844,0.7333842627960275
0.9534609334032512,0.9061302681992337,0.6071887034659821,0.7271329746348962
0.9538542212899843,0.9098196392785571,0.5965834428383706,0.7206349206349206
0.95372312532774,0.9307282415630551,0.6252983293556086,0.7480371163454675
0.9524121657052963,0.8944337811900192,0.6020671834625323,0.7196911196911197
0.9530676455165181,0.9302325581395349,0.5751633986928104,0.7108239095315024
0.9525432616675407,0.9390962671905697,0.5908529048207664,0.7253414264036419
0.9500524383848977,0.9072356215213359,0.5963414634146341,0.7196467991169978
0.9533298374410069,0.9334532374100719,0.6193317422434368,0.7446197991391679
0.9538542212899843,0.9351669941060904,0.5987421383647799,0.7300613496932515
0.9542475091767174,0.9345794392523364,0.6142506142506142,0.7412898443291327
0.9539853172522287,0.92,0.6223862238622386,0.7424798239178283
0.957000524383849,0.9312267657992565,0.6325757575757576,0.7533834586466165
