model,accuracy_rank,precision_rank,recall_rank,f1_rank,avg_rank
efficientnet,1,4,1,1,1.75
mobilenetv2,2,3,2,2,2.25
resnet18,3,1,3,3,2.5
residual,4,2,4,4,3.5
attention,5,6,7,5,5.75
improved,6,9,6,6,6.75
bn,7,5,8,7,6.75
large,9,12,5,8,8.5
baseline,8,10,9,9,9.0
threeconv,10,11,10,10,10.25
tiny,11,8,11,11,10.25
small,12,7,12,12,10.75
